% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=390275, Wed Jan  3 17:42:07 2024, <python>{}</python>
1 9 0.46292442430761693 1.0000428580612375 47078.666666666664 4.7078666666666664e+04 49680.0 49781.333333333336   
2 18 0.48723346767348114 1.207577449305951 45988.666666666664 4.5988666666666664e+04 49276.666666666664 49751.333333333336   
3 27 0.5460074443895727 1.4101676197322506 43289.333333333336 4.3289333333333336e+04 46552.0 49447.333333333336   
4 36 0.581361027781315 1.5067423629155616 43289.333333333336 4.5085333333333336e+04 45616.0 48266.0   
5 45 0.5579551288912351 1.6244828509700482 42280.0 4.2280000000000000e+04 45679.333333333336 47872.666666666664   
6 54 0.5901485000759527 1.6284154228961838 42280.0 4.2868000000000000e+04 45527.333333333336 48023.333333333336   
7 63 0.6592154283334998 1.7594177168150409 41990.666666666664 4.1990666666666664e+04 45779.333333333336 47458.0   
8 72 0.8346223373958171 1.9493232706119497 41990.666666666664 4.3697333333333336e+04 45738.666666666664 46706.666666666664   
9 81 0.8206479891749947 2.1807817251780808 41990.666666666664 4.2536000000000000e+04 44088.666666666664 46001.333333333336   
10 90 0.7481654912723185 2.1473441491478544 41990.666666666664 4.2378000000000000e+04 44721.333333333336 47194.0   
11 99 0.6810204983962295 2.135066096194026 41990.666666666664 4.2124666666666664e+04 44763.333333333336 45651.333333333336   
