% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=390275, Wed Jan  3 17:42:07 2024, <python>{}</python>
1 9 0.46292442430761693 0 0 0.46360970727802764 0.45604535677169733 0.45662646694274917 0.46072668075663886 0.48096464748177103 0.4329417013534509 0.4544374184705462
2 18 0.48723346767348114 0 0 0.48782371667855673 0.503460982788576 0.4590440280256651 0.4818761192805857 0.5229519479741459 0.4666984436931997 0.47350522318898625
3 27 0.5460074443895727 0 0 0.5528477928433575 0.5202706100524525 0.5071810840509898 0.5309054179997513 0.6101649575644762 0.5597757533008438 0.546120120837428
4 36 0.581361027781315 0 0 0.5850294669308564 0.5667571078904395 0.5371003767866027 0.5696334147768777 0.6565665825394807 0.6108329346599638 0.5831294085422807
5 45 0.5579551288912351 0 0 0.5620386058155908 0.5476980982587246 0.5140723038071128 0.5084234056658867 0.5986643208923254 0.5892082093112757 0.5413056645319347
6 54 0.5901485000759527 0 0 0.5778899788298858 0.570524511561619 0.5528290550028802 0.5453732141000436 0.6009788866443465 0.6836438339444824 0.5575176965458777
7 63 0.6592154283334998 0 0 0.6527610911839985 0.6396668524273337 0.5914012949860418 0.6338053536315654 0.6453507830527334 0.8548837917067361 0.6071174345349385
8 72 0.8346223373958171 0 0 0.7726328688457862 0.8220361269085344 0.7395216753187241 0.8214391268356247 0.8557193729933242 1.1775517819278747 0.7634351409759358
9 81 0.8206479891749947 0 0 0.7383999558704453 0.7954545407533765 0.7167487885780097 0.7719187091794605 0.799962910976973 1.1457565831529801 0.7475148033649065
10 90 0.7481654912723185 0 0 0.6540093070104197 0.7079443845609971 0.6368927259576388 0.7015117670923331 0.6892534974295544 1.0491052935701044 0.6635816486571358
11 99 0.6810204983962295 0 0 0.5762864292430505 0.647339855341629 0.5700766364299973 0.6235284262808575 0.6076157479133775 0.9459618958473048 0.6130117845714532
