% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=390275, Wed Jan  3 17:42:07 2024
1 9 -0.06826818532335967 -0.03377905921138902 0.022142631389182314 0.08411326854543114 0.9174010804234201 0.9628107962390768 0.9824372144380937 0.9883256570330446 1.01876453527694 1.057080352985101 1.0649413564209014
2 18 -0.06826818532335967 -0.03377905921138902 0.022142631389182314 0.08411326854543114 0.9174010804234201 0.9628107962390768 0.9824372144380937 0.9883256570330446 1.01876453527694 1.057080352985101 1.0649413564209014
3 27 -0.06826818532335967 -0.03377905921138902 0.022142631389182314 0.08411326854543114 0.9174010804234201 0.9628107962390768 0.9824372144380937 0.9883256570330446 1.01876453527694 1.057080352985101 1.0649413564209014
4 36 -0.06826818532335967 -0.03377905921138902 0.022142631389182314 0.08411326854543114 0.9174010804234201 0.9628107962390768 0.9824372144380937 0.9883256570330446 1.01876453527694 1.057080352985101 1.0649413564209014
5 45 -0.06826818532335967 -0.03377905921138902 0.022142631389182314 0.08411326854543114 0.9174010804234201 0.9628107962390768 0.9824372144380937 0.9883256570330446 1.01876453527694 1.057080352985101 1.0649413564209014
6 54 -0.06826818532335967 -0.03377905921138902 0.022142631389182314 0.08411326854543114 0.9174010804234201 0.9628107962390768 0.9824372144380937 0.9883256570330446 1.01876453527694 1.057080352985101 1.0649413564209014
7 63 -0.06826818532335967 -0.03377905921138902 0.022142631389182314 0.08411326854543114 0.9174010804234201 0.9628107962390768 0.9824372144380937 0.9883256570330446 1.01876453527694 1.057080352985101 1.0649413564209014
8 72 -0.2933493973173762 -0.10093419286554758 0.14658694199770153 0.26876988900352417 0.6719062985346969 0.8267089373363401 0.9033048789675914 0.9984688292726962 1.0381992393672856 1.1635360353596236 1.2729967734910326
9 81 -0.2933493973173762 -0.10093419286554758 0.14658694199770153 0.26876988900352417 0.6719062985346969 0.8267089373363401 0.9033048789675914 0.9984688292726962 1.0381992393672856 1.1635360353596236 1.2729967734910326
10 90 -0.2933493973173762 -0.10093419286554758 0.14658694199770153 0.26876988900352417 0.6719062985346969 0.8267089373363401 0.9033048789675914 0.9984688292726962 1.0381992393672856 1.1635360353596236 1.2729967734910326
11 99 -0.2933493973173762 -0.10093419286554758 0.14658694199770153 0.26876988900352417 0.6719062985346969 0.8267089373363401 0.9033048789675914 0.9984688292726962 1.0381992393672856 1.1635360353596236 1.2729967734910326
